SAP2000 v14.0.0    3/26/21 14:49:30

Table:  Element Forces - Frames

       Frame     Station  OutputCase    CaseType           P          V2          V3           T          M2          M3   FrameElem ElemStation
                      mm                                   N           N           N        N-mm        N-mm        N-mm                      mm

          19     3750.00        LIVE   LinStatic        0.00     1460.17        0.00  -129084.85        0.00  2641897.72        19-1     3750.00
          19     4250.00        LIVE   LinStatic        0.00     2460.17        0.00  -129084.85        0.00  1661814.24        19-1     4250.00
          19     4750.00        LIVE   LinStatic        0.00     3460.17        0.00  -129084.85        0.00   181730.75        19-1     4750.00
          19     5250.00        LIVE   LinStatic        0.00     4397.67        0.00  -129084.85        0.00 -1793144.40        19-1     5250.00
          19     5750.00        LIVE   LinStatic        0.00     4897.67        0.00  -129084.85        0.00 -4137811.17        19-1     5750.00
          19      250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   2.141E-05        19-1      250.00
          19      750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   1.743E-05        19-1      750.00
          19     1250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   1.346E-05        19-1     1250.00
          19     1750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   9.478E-06        19-1     1750.00
          19     2250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   5.502E-06        19-1     2250.00
          19     2750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00   1.525E-06        19-1     2750.00
          19     3250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -2.452E-06        19-1     3250.00
          19     3750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -6.429E-06        19-1     3750.00
          19     4250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -1.041E-05        19-1     4250.00
          19     4750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -1.438E-05        19-1     4750.00
          19     5250.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -1.836E-05        19-1     5250.00
          19     5750.00       WINDX   LinStatic        0.00   7.954E-09        0.00   9.704E-07        0.00  -2.234E-05        19-1     5750.00
          19      250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 10189170.01        19-1      250.00
          19      750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00  8297163.61        19-1      750.00
          19     1250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00  6405157.20        19-1     1250.00
          19     1750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00  4513150.80        19-1     1750.00
          19     2250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00  2621144.40        19-1     2250.00
          19     2750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00   729137.99        19-1     2750.00
          19     3250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -1162868.41        19-1     3250.00
          19     3750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -3054874.81        19-1     3750.00
          19     4250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -4946881.22        19-1     4250.00
          19     4750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -6838887.62        19-1     4750.00
          19     5250.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -8730894.02        19-1     5250.00
          19     5750.00       WINDY   LinStatic        0.00     3784.01        0.00     3867.20        0.00 -10622900.4        19-1     5750.00
          20      250.00        DEAD   LinStatic        0.00   -36163.38        0.00   -11068.37        0.00 -30284413.8        20-1      250.00
          20      750.00        DEAD   LinStatic        0.00   -32057.38        0.00   -11068.37        0.00 -13097409.3        20-1      750.00
          20     1250.00        DEAD   LinStatic        0.00   -25183.23        0.00   -11068.37        0.00  1278649.66        20-1     1250.00
          20     1750.00        DEAD   LinStatic        0.00   -17913.63        0.00   -11068.37        0.00 12052862.93        20-1     1750.00
          20     2250.00        DEAD   LinStatic        0.00   -10644.03        0.00   -11068.37        0.00 19192276.24        20-1     2250.00
          20     2750.00        DEAD   LinStatic        0.00    -3374.43        0.00   -11068.37        0.00 22696889.58        20-1     2750.00
          20     3250.00        DEAD   LinStatic        0.00     3895.17        0.00   -11068.37        0.00 22566702.96        20-1     3250.00
